Time,ParticipantID,Condition,HeadX,HeadY,HeadZ,HeadYaw,HeadPitch,GazeTarget
0.17,Participant_02,Adaptive_Dual,1.000,0.000,1.000,0.0,0.0,None
0.28,Participant_02,Adaptive_Dual,1.000,0.000,1.000,0.0,0.0,None
0.39,Participant_02,Adaptive_Dual,1.000,0.000,1.000,0.0,0.0,None
0.50,Participant_02,Adaptive_Dual,1.000,0.000,1.000,0.0,0.0,None
0.62,Participant_02,Adaptive_Dual,1.000,0.000,1.000,0.0,0.0,None
0.73,Participant_02,Adaptive_Dual,1.000,0.000,1.000,0.0,0.0,None
0.84,Participant_02,Adaptive_Dual,1.000,0.000,1.000,0.0,0.0,None
0.94,Participant_02,Adaptive_Dual,0.785,0.999,1.079,287.4,23.2,None
1.04,Participant_02,Adaptive_Dual,0.787,0.998,1.079,287.8,23.1,None
1.15,Participant_02,Adaptive_Dual,0.790,0.997,1.080,288.0,22.9,None
1.26,Participant_02,Adaptive_Dual,0.794,0.996,1.081,289.2,23.0,None
1.37,Participant_02,Adaptive_Dual,0.804,0.993,1.082,291.0,22.3,None
1.48,Participant_02,Adaptive_Dual,0.818,0.987,1.083,293.2,19.7,None
1.60,Participant_02,Adaptive_Dual,0.833,0.980,1.086,294.5,14.5,None
1.71,Participant_02,Adaptive_Dual,0.842,0.978,1.092,294.3,9.4,None
1.82,Participant_02,Adaptive_Dual,0.848,0.989,1.103,292.8,4.1,None
1.93,Participant_02,Adaptive_Dual,0.855,1.004,1.111,294.2,1.4,None
2.04,Participant_02,Adaptive_Dual,0.868,1.017,1.115,298.8,359.5,None
2.15,Participant_02,Adaptive_Dual,0.889,1.025,1.115,304.8,358.0,None
2.26,Participant_02,Adaptive_Dual,0.912,1.029,1.110,314.3,359.6,None
2.37,Participant_02,Adaptive_Dual,0.934,1.029,1.104,321.7,0.8,None
2.49,Participant_02,Adaptive_Dual,0.950,1.028,1.097,327.5,1.6,None
2.60,Participant_02,Adaptive_Dual,0.962,1.026,1.087,334.2,2.4,None
2.71,Participant_02,Adaptive_Dual,0.970,1.022,1.078,338.1,3.1,None
2.82,Participant_02,Adaptive_Dual,0.977,1.015,1.070,341.1,3.7,None
2.93,Participant_02,Adaptive_Dual,0.978,1.011,1.067,342.0,4.7,None
3.04,Participant_02,Adaptive_Dual,0.981,1.013,1.065,344.4,6.5,None
3.15,Participant_02,Adaptive_Dual,0.990,1.010,1.062,347.4,6.8,None
3.26,Participant_02,Adaptive_Dual,1.000,1.009,1.058,350.1,6.9,None
3.38,Participant_02,Adaptive_Dual,1.007,1.010,1.053,352.9,6.9,None
3.49,Participant_02,Adaptive_Dual,1.012,1.010,1.049,355.4,7.1,None
3.60,Participant_02,Adaptive_Dual,1.016,1.010,1.049,356.2,7.7,None
3.71,Participant_02,Adaptive_Dual,1.018,1.010,1.049,356.3,7.5,None
3.82,Participant_02,Adaptive_Dual,1.018,1.011,1.049,356.8,7.6,None
3.93,Participant_02,Adaptive_Dual,1.018,1.010,1.049,356.3,7.5,None
4.04,Participant_02,Adaptive_Dual,1.017,1.009,1.048,355.9,7.3,None
4.15,Participant_02,Adaptive_Dual,1.016,1.009,1.047,355.5,7.3,None
4.27,Participant_02,Adaptive_Dual,1.014,1.008,1.046,354.5,6.8,None
4.38,Participant_02,Adaptive_Dual,1.012,1.008,1.046,354.2,6.7,None
4.49,Participant_02,Adaptive_Dual,1.010,1.010,1.048,353.0,6.4,None
4.60,Participant_02,Adaptive_Dual,1.007,1.013,1.049,352.4,6.2,None
4.71,Participant_02,Adaptive_Dual,1.005,1.014,1.051,351.8,6.1,None
4.82,Participant_02,Adaptive_Dual,1.003,1.015,1.051,351.1,5.9,None
4.93,Participant_02,Adaptive_Dual,1.001,1.015,1.053,350.5,5.7,None
5.04,Participant_02,Adaptive_Dual,0.997,1.016,1.057,348.9,5.5,None
5.15,Participant_02,Adaptive_Dual,0.993,1.018,1.061,347.3,5.5,None
5.27,Participant_02,Adaptive_Dual,0.988,1.019,1.064,346.6,5.9,None
5.38,Participant_02,Adaptive_Dual,0.984,1.020,1.066,345.4,5.5,None
5.49,Participant_02,Adaptive_Dual,0.977,1.019,1.070,343.7,5.5,None
5.60,Participant_02,Adaptive_Dual,0.967,1.021,1.076,340.9,5.6,None
5.71,Participant_02,Adaptive_Dual,0.955,1.024,1.082,337.1,5.5,None
5.82,Participant_02,Adaptive_Dual,0.942,1.031,1.088,332.8,4.6,None
5.93,Participant_02,Adaptive_Dual,0.925,1.045,1.094,327.3,3.3,None
6.04,Participant_02,Adaptive_Dual,0.905,1.066,1.103,321.9,3.3,None
6.15,Participant_02,Adaptive_Dual,0.890,1.087,1.112,318.5,4.2,None
6.26,Participant_02,Adaptive_Dual,0.884,1.107,1.117,317.7,3.6,None
6.38,Participant_02,Adaptive_Dual,0.886,1.127,1.124,319.8,3.1,None
6.49,Participant_02,Adaptive_Dual,0.893,1.146,1.136,320.6,2.6,None
6.60,Participant_02,Adaptive_Dual,0.905,1.161,1.146,323.4,2.9,None
6.71,Participant_02,Adaptive_Dual,0.926,1.170,1.151,330.0,3.4,None
6.82,Participant_02,Adaptive_Dual,0.956,1.176,1.158,337.2,4.9,None
6.93,Participant_02,Adaptive_Dual,0.998,1.180,1.166,343.2,6.5,None
7.04,Participant_02,Adaptive_Dual,1.044,1.181,1.169,347.8,8.0,None
7.15,Participant_02,Adaptive_Dual,1.087,1.180,1.159,353.9,10.4,None
7.26,Participant_02,Adaptive_Dual,1.130,1.168,1.140,0.9,11.4,None
7.38,Participant_02,Adaptive_Dual,1.163,1.155,1.117,5.5,11.6,None
7.49,Participant_02,Adaptive_Dual,1.180,1.136,1.092,11.1,13.5,None
7.60,Participant_02,Adaptive_Dual,1.181,1.103,1.071,13.9,15.8,None
7.71,Participant_02,Adaptive_Dual,1.171,1.070,1.061,15.4,18.3,None
7.82,Participant_02,Adaptive_Dual,1.157,1.048,1.061,13.7,21.1,None
7.93,Participant_02,Adaptive_Dual,1.139,1.028,1.061,11.6,23.0,None
8.04,Participant_02,Adaptive_Dual,1.121,1.007,1.063,7.7,23.7,Video
8.15,Participant_02,Adaptive_Dual,1.100,0.987,1.068,3.1,23.2,Video
8.26,Participant_02,Adaptive_Dual,1.077,0.980,1.077,355.9,23.8,Video
8.38,Participant_02,Adaptive_Dual,1.046,0.976,1.085,349.2,21.1,Video
8.49,Participant_02,Adaptive_Dual,1.013,0.972,1.094,339.2,15.8,None
8.60,Participant_02,Adaptive_Dual,0.973,0.970,1.095,332.6,15.4,None
8.71,Participant_02,Adaptive_Dual,0.932,0.969,1.096,324.4,15.4,None
8.82,Participant_02,Adaptive_Dual,0.884,0.975,1.100,314.5,17.7,None
8.93,Participant_02,Adaptive_Dual,0.828,0.977,1.107,303.1,22.2,None
9.04,Participant_02,Adaptive_Dual,0.781,0.977,1.116,284.3,19.3,None
9.15,Participant_02,Adaptive_Dual,0.737,0.972,1.118,268.8,16.7,None
9.27,Participant_02,Adaptive_Dual,0.695,0.965,1.118,260.3,19.1,None
9.38,Participant_02,Adaptive_Dual,0.655,0.955,1.120,250.2,19.2,None
9.49,Participant_02,Adaptive_Dual,0.627,0.950,1.118,241.3,16.7,None
9.60,Participant_02,Adaptive_Dual,0.614,0.951,1.119,240.7,16.8,None
9.71,Participant_02,Adaptive_Dual,0.605,0.957,1.127,240.5,16.3,None
9.82,Participant_02,Adaptive_Dual,0.591,0.970,1.137,240.0,13.8,None
9.93,Participant_02,Adaptive_Dual,0.562,0.986,1.122,240.5,14.6,None
10.04,Participant_02,Adaptive_Dual,0.511,1.001,1.084,232.0,14.2,None
10.15,Participant_02,Adaptive_Dual,0.460,1.017,1.032,220.0,12.0,None
10.26,Participant_02,Adaptive_Dual,0.420,1.034,0.981,214.5,14.7,None
10.37,Participant_02,Adaptive_Dual,0.390,1.046,0.946,211.9,16.5,None
10.49,Participant_02,Adaptive_Dual,0.367,1.051,0.933,210.6,18.1,None
10.60,Participant_02,Adaptive_Dual,0.361,1.051,0.943,213.5,20.5,None
10.71,Participant_02,Adaptive_Dual,0.376,1.043,0.972,216.9,18.0,None
10.82,Participant_02,Adaptive_Dual,0.403,1.037,1.014,223.4,16.4,None
10.93,Participant_02,Adaptive_Dual,0.442,1.038,1.059,232.5,14.1,None
11.04,Participant_02,Adaptive_Dual,0.482,1.049,1.095,241.4,9.3,None
11.15,Participant_02,Adaptive_Dual,0.513,1.079,1.118,247.2,7.0,None
11.26,Participant_02,Adaptive_Dual,0.540,1.117,1.131,252.8,6.5,None
11.37,Participant_02,Adaptive_Dual,0.572,1.153,1.146,255.8,3.4,None
11.49,Participant_02,Adaptive_Dual,0.617,1.176,1.160,261.0,0.3,None
11.60,Participant_02,Adaptive_Dual,0.669,1.191,1.175,269.3,357.9,None
11.71,Participant_02,Adaptive_Dual,0.721,1.213,1.190,276.4,356.6,None
11.82,Participant_02,Adaptive_Dual,0.773,1.231,1.205,282.2,355.5,None
11.93,Participant_02,Adaptive_Dual,0.832,1.244,1.218,290.1,355.9,None
12.04,Participant_02,Adaptive_Dual,0.895,1.229,1.216,297.1,355.5,None
12.15,Participant_02,Adaptive_Dual,0.951,1.191,1.199,310.4,356.0,None
12.26,Participant_02,Adaptive_Dual,0.991,1.144,1.183,319.4,1.1,None
12.38,Participant_02,Adaptive_Dual,1.012,1.093,1.164,324.4,1.8,None
12.49,Participant_02,Adaptive_Dual,1.008,1.044,1.150,326.3,2.6,None
12.60,Participant_02,Adaptive_Dual,0.987,1.006,1.139,322.2,1.6,None
12.71,Participant_02,Adaptive_Dual,0.961,0.980,1.138,314.2,0.5,Video
12.82,Participant_02,Adaptive_Dual,0.927,0.966,1.138,306.3,2.0,Video
12.93,Participant_02,Adaptive_Dual,0.889,0.957,1.143,299.1,5.1,None
13.04,Participant_02,Adaptive_Dual,0.851,0.947,1.153,289.3,5.7,None
13.15,Participant_02,Adaptive_Dual,0.819,0.941,1.162,280.9,7.0,None
13.26,Participant_02,Adaptive_Dual,0.796,0.939,1.166,275.2,7.1,None
13.38,Participant_02,Adaptive_Dual,0.783,0.940,1.166,272.7,8.5,None
13.49,Participant_02,Adaptive_Dual,0.778,0.943,1.164,272.7,9.9,None
